,pd_abac,pd_ataz,pd_dida,pd_efav,pd_emtr,pd_indi,pd_lami,pd_lopi,pd_nelf,pd_nevi,pd_rito,pd_saqu,pd_stav,pd_teno,pd_zido,gender,age,bmi,cd4,vln,bps,bpd,ldl,hdl,trig,bmi_slope,cd4_slope,log_vln_slope,ldl_slope,hdl_slope,d_abac,d_ataz,d_dida,d_efav,d_emtr,d_indi,d_lami,d_lopi,d_nelf,d_nevi,d_rito,d_saqu,d_stav,d_teno,d_zido
pd_abac,,0.1325,0.0196,0.0132,-0.0135,-0.018,0.185,0.139,0.0121,0.087,0.0414,0.0005,0.0439,0.0777,0.111,-0.002,0.056,0.006,0.0995,-0.073,0.024,0.013,0.035,0.029,0.027,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_ataz,,,0.007,0.0025,0.2437,-0.0227,0.035,0.0004,-0.021,-0.0123,-0.0033,-0.013,-0.015,0.258,0.0009,-0.005,0.031,0.022,0.045,-0.048,0.0063,0.0087,-0.003,0.0035,0.0104,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_dida,,,,0.0724,-0.018,0.0279,-0.011,0.0713,0.095,0.0497,0.0698,0.0772,0.1841,0.0355,-0.017,0.012,-0.005,0.014,0.052,-0.057,0.0085,-0.008,0.0413,0.0257,0.0285,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_efav,,,,,0.303,-0.04,0.2,-0.002,-0.017,-0.033,0.0009,-0.005,0.08,0.307,0.131,-0.001,0.034,0.026,0.119,-0.106,0.021,0.019,0.051,0.086,0.0264,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_emtr,,,,,,-0.033,-0.08,0.148,-0.025,0.0185,0.0245,-0.0203,-0.042,0.761,-0.066,-0.002,0.0337,0.024,0.0528,-0.071,-0.013,0.0009,0.0164,0.0272,0.0003,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_indi,,,,,,,0.338,-0.032,-0.045,-0.009,0.0247,-0.027,0.187,-0.0418,0.235,0.007,-0.013,0.012,0.0593,-0.077,0.011,0.0127,0.0597,-0.0059,0.0498,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_lami,,,,,,,,0.066,0.285,0.169,0.085,0.121,0.3138,-0.0075,0.6536,0.012,-0.021,0.032,0.175,-0.194,0.017,-0.0053,0.0783,0.0543,0.0604,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_lopi,,,,,,,,,-0.029,0.0075,0.162,-0.003,0.029,0.245,0.044,0.006,0.038,0.008,0.014,-0.041,0.0091,0.0062,0.013,0.0153,0.0575,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_nelf,,,,,,,,,,0.041,-0.023,0.009,0.262,-0.025,0.168,0.012,-0.0005,0.016,0.065,-0.088,0.0041,-0.02,0.077,0.0362,0.0266,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_nevi,,,,,,,,,,,0.034,0.03,0.134,0.0505,0.091,-0.002,0.028,0.028,0.086,-0.07,0.0501,0.032,0.052,0.0863,0.0271,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_rito,,,,,,,,,,,,0.317,0.11,0.034,0.048,0.008,-0.01,-0.005,0.015,-0.032,-0.0008,-0.0064,0.029,-0.006,0.0782,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_saqu,,,,,,,,,,,,,0.12,-0.018,0.082,0.004,-0.014,-0.001,0.021,-0.044,-0.011,-0.013,0.0201,-0.006,0.0568,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_stav,,,,,,,,,,,,,,-0.031,-0.134,0.016,-0.038,0.011,0.091,-0.103,0.028,0.013,0.07,0.019,0.0596,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
