name,type,across.mean,across.SD,across.var,within.var,prop,error.SD
id,id,NA,NA,NA,NA,NA,NA
prop_drug1,normal.drug,0.9,,,NA,NA,NA
prop_drug2,normal.drug,0.5,,,NA,NA,NA
height,normal.other,65,5,,1.00E-27,NA,NA
weight,normal.other,150,40,,1.00E+01,NA,1.5
bp,time.function,110,10,,,NA,6
bp_slope,normal.other,0,3,,,NA,NA
ever_drug1,bin.drug,NA,NA,NA,NA,0.25,NA
ever_drug2,bin.drug,NA,NA,NA,NA,0.1,NA
male,bin.other,NA,NA,NA,NA,0.4,NA
black,cat.static,NA,NA,NA,NA,NA,NA
white,cat.static,NA,NA,NA,NA,NA,NA
other,cat.static,NA,NA,NA,NA,NA,NA
