miss.var,parameter,beta
miss.bmi,intercept,-70
miss.bmi,aux.etiol,1
miss.bmi,time2event,1.2
miss.bmi,d,1.4
miss.bmi,subj.rand.int,0
miss.ldl,intercept,0.5
miss.ldl,baseline,1.2
miss.ldl,aux.etiol,1
miss.ldl,subj.rand.int,0
miss.hdl,intercept,0
miss.hdl,aux.etiol,1
miss.hdl,miss.ldl,1
miss.hdl,subj.rand.int,0
miss.log_vln,intercept,0.9
miss.log_vln,baseline,-3
miss.log_vln,aux.etiol,0.02
miss.log_vln,subj.rand.int,0
miss.cd4,intercept,0.2
miss.cd4,baseline,-3
miss.cd4,aux.etiol,0.02
miss.cd4,subj.rand.int,0
